Task,Algorithm,Feature,Mean_Importance,Std_Importance,Overall_Mean_Importance,Overall_Std_Importance
Classification,Gradient Boosting,eager-test,0.0009007176260115254,0.0006369023858307152,0.008760417535711643,0.005623825721318583
Classification,Extra Trees,hIndexModificationsPerCoveredLine_window5,0.029676121547146078,0.003981313543460175,0.008741820938584706,0.010403523626747157
Classification,Random Forest,hIndexModificationsPerCoveredLine_window5,0.012843773870666786,0.002096845151775541,0.008741820938584706,0.010403523626747157
Classification,Gradient Boosting,hIndexModificationsPerCoveredLine_window5,0.0038047440176469088,0.0015262790801969248,0.008741820938584706,0.010403523626747157
Regression,Extra Trees Regressor,hIndexModificationsPerCoveredLine_window5,0.0037803255705648516,0.0012905796509360865,0.008741820938584706,0.010403523626747157
Regression,Random Forest Regressor,hIndexModificationsPerCoveredLine_window5,0.002165342235190707,0.0009054045188133997,0.008741820938584706,0.010403523626747157
Regression,Gradient Boosting Regressor,hIndexModificationsPerCoveredLine_window5,0.00018061839029290367,0.0005263381940037404,0.008741820938584706,0.010403523626747157
Classification,Extra Trees,test-run-war,0.017952339302713567,0.001536028215304853,0.008552575427641389,0.00760185359546085
Classification,Gradient Boosting,test-run-war,0.016391685022902457,0.005128949463991759,0.008552575427641389,0.00760185359546085
Classification,Random Forest,test-run-war,0.01194893887740865,0.0019136294319780432,0.008552575427641389,0.00760185359546085
Regression,Extra Trees Regressor,test-run-war,0.004089464484096858,0.0009521061030219265,0.008552575427641389,0.00760185359546085
Regression,Random Forest Regressor,test-run-war,0.0008789267088124235,0.0002875774082248559,0.008552575427641389,0.00760185359546085
Regression,Gradient Boosting Regressor,test-run-war,5.409816991437787e-05,0.00015113137596796397,0.008552575427641389,0.00760185359546085
Classification,Extra Trees,conditional-test-logic,0.012537965507811485,0.0010878615766007683,0.004002002584711984,0.004222316318753801
Regression,Random Forest Regressor,conditional-test-logic,0.004077425497362689,0.0011703520141986526,0.004002002584711984,0.004222316318753801
Regression,Extra Trees Regressor,conditional-test-logic,0.003544317206669905,0.0006765136530758643,0.004002002584711984,0.004222316318753801
Classification,Random Forest,conditional-test-logic,0.003223749848905249,0.0002980013886174671,0.004002002584711984,0.004222316318753801
Regression,Gradient Boosting Regressor,conditional-test-logic,0.0004936897521036803,0.0015415052961525344,0.004002002584711984,0.004222316318753801
Classification,Gradient Boosting,conditional-test-logic,0.00013486769541889583,0.0001789359422070116,0.004002002584711984,0.004222316318753801
