Project_ID,Project,Algorithm,Test_Samples,Flaky_Samples,MCC,Macro_F1,F1-Score,Precision,Recall,AUC-PR
E19,java-websocket,Random Forest,145,23,0.0,0.45692883895131087,0.0,0.0,0.0,0.37249218676761486
E19,java-websocket,Extra Trees,145,23,0.0,0.45692883895131087,0.0,0.0,0.0,0.7275867772762182
E19,java-websocket,Gradient Boosting,145,23,-0.022239012380096866,0.476273508531573,0.06451612903225806,0.125,0.043478260869565216,0.6101328182062815
E19,java-websocket,Logistic Regression,145,23,0.419471434251494,0.5992772108843537,0.46938775510204084,0.30666666666666664,1.0,0.29739308838182743
E19,java-websocket,Naive Bayes,145,23,0.5473750432190986,0.7129401883736277,0.5822784810126582,0.4107142857142857,1.0,0.30771514166272546
E19,java-websocket,KNN,145,23,-0.036182848738112096,0.4548872180451128,0.0,0.0,0.0,0.47031484257871065
E20,undertow,Random Forest,183,7,0.19861533663856865,0.5887640449438202,0.2,0.3333333333333333,0.14285714285714285,0.13423627959342244
E20,undertow,Extra Trees,183,7,0.0,0.49025069637883006,0.0,0.0,0.0,0.055482460131204045
E20,undertow,Gradient Boosting,183,7,0.04784776762812528,0.44814720163557376,0.09230769230769231,0.05172413793103448,0.42857142857142855,0.09008480862700811
E20,undertow,Logistic Regression,183,7,-0.04276541713827371,0.3389162561576355,0.05714285714285714,0.030612244897959183,0.42857142857142855,0.05600858766187933
E20,undertow,Naive Bayes,183,7,0.15821628853886543,0.4731371687893427,0.14492753623188406,0.08064516129032258,0.7142857142857143,0.09829501564195442
E20,undertow,KNN,183,7,0.14133878647038903,0.5692090395480226,0.16666666666666666,0.2,0.14285714285714285,0.10837205224861927
E21,wildfly,Random Forest,1236,23,-0.012436216743052064,0.4932349323493235,0.0,0.0,0.0,0.06691998860762667
E21,wildfly,Extra Trees,1236,23,-0.01179322246147065,0.4934426229508197,0.0,0.0,0.0,0.0835827593640026
E21,wildfly,Gradient Boosting,1236,23,0.1409074014273057,0.48742025277326767,0.09966777408637874,0.0539568345323741,0.6521739130434783,0.0800142376602831
E21,wildfly,Logistic Regression,1236,23,0.09771267408966854,0.46497724340224617,0.07669616519174041,0.04113924050632911,0.5652173913043478,0.04378357404134574
E21,wildfly,Naive Bayes,1236,23,0.15302412398501486,0.47906811665733157,0.10059171597633136,0.05396825396825397,0.7391304347826086,0.056859880751410304
E21,wildfly,KNN,1236,23,-0.0067922334872826005,0.4946852003270646,0.0,0.0,0.0,0.01860059722026797
E22,wro4j,Random Forest,1145,16,0.03312609894944242,0.5157197236712251,0.04878048780487805,0.04,0.0625,0.01847546697833783
E22,wro4j,Extra Trees,1145,16,0.03312609894944242,0.5157197236712251,0.04878048780487805,0.04,0.0625,0.03626611749572865
E22,wro4j,Gradient Boosting,1145,16,0.04619474276468357,0.4045065619195518,0.04044943820224719,0.02097902097902098,0.5625,0.03795384117548287
E22,wro4j,Logistic Regression,1145,16,0.04640610053519904,0.3262569916021258,0.036753445635528334,0.018838304552590265,0.75,0.0826776617819168
E22,wro4j,Naive Bayes,1145,16,0.03305641819210278,0.42621058558558556,0.03783783783783784,0.01977401129943503,0.4375,0.052288299462639014
E22,wro4j,KNN,1145,16,0.06402972242301824,0.5059859458769945,0.06504065040650407,0.037383177570093455,0.25,0.020717127815690274
E23,zxing,Random Forest,345,2,0.0,0.498546511627907,0.0,0.0,0.0,0.007030782129596359
E23,zxing,Extra Trees,345,2,0.0,0.498546511627907,0.0,0.0,0.0,0.006866804692891649
E23,zxing,Gradient Boosting,345,2,-0.03325448937568096,0.4549763033175355,0.0,0.0,0.0,0.0063052702541936
E23,zxing,Logistic Regression,345,2,0.03361448385020011,0.4214896214896215,0.01904761904761905,0.009708737864077669,0.5,0.008095975232198143
E23,zxing,Naive Bayes,345,2,-0.0374871946450946,0.4444444444444444,0.0,0.0,0.0,0.006188024408848207
E23,zxing,KNN,345,2,-0.0058309037900874635,0.4970845481049563,0.0,0.0,0.0,0.005797101449275362
